Round 0: 2 undefeated, 0 one-loss, 0 eliminated
Round 1: 1 undefeated, 1 one-loss, 0 eliminated
Round 2: 0 undefeated, 2 one-loss, 0 eliminated
Round 3: 0 undefeated, 1 one-loss, 1 eliminated
There are 3 rounds.

Round 0: 15 undefeated, 0 one-loss, 0 eliminated
Round 1: 8 undefeated, 7 one-loss, 0 eliminated
Round 2: 4 undefeated, 8 one-loss, 3 eliminated
Round 3: 2 undefeated, 6 one-loss, 7 eliminated
Round 4: 1 undefeated, 4 one-loss, 10 eliminated
Round 5: 1 undefeated, 2 one-loss, 12 eliminated
Round 6: 1 undefeated, 1 one-loss, 13 eliminated
Round 7: 0 undefeated, 2 one-loss, 13 eliminated
Round 8: 0 undefeated, 1 one-loss, 14 eliminated
There are 8 rounds.

Round 0: 16 undefeated, 0 one-loss, 0 eliminated
Round 1: 8 undefeated, 8 one-loss, 0 eliminated
Round 2: 4 undefeated, 8 one-loss, 4 eliminated
Round 3: 2 undefeated, 6 one-loss, 8 eliminated
Round 4: 1 undefeated, 4 one-loss, 11 eliminated
Round 5: 1 undefeated, 2 one-loss, 13 eliminated
Round 6: 1 undefeated, 1 one-loss, 14 eliminated
Round 7: 0 undefeated, 2 one-loss, 14 eliminated
Round 8: 0 undefeated, 1 one-loss, 15 eliminated
There are 8 rounds.

Round 0: 17 undefeated, 0 one-loss, 0 eliminated
Round 1: 9 undefeated, 8 one-loss, 0 eliminated
Round 2: 5 undefeated, 8 one-loss, 4 eliminated
Round 3: 3 undefeated, 6 one-loss, 8 eliminated
Round 4: 2 undefeated, 4 one-loss, 11 eliminated
Round 5: 1 undefeated, 3 one-loss, 13 eliminated
Round 6: 1 undefeated, 2 one-loss, 14 eliminated
Round 7: 1 undefeated, 1 one-loss, 15 eliminated
Round 8: 0 undefeated, 2 one-loss, 15 eliminated
Round 9: 0 undefeated, 1 one-loss, 16 eliminated
There are 9 rounds.

Round 0: 32000 undefeated, 0 one-loss, 0 eliminated
Round 1: 16000 undefeated, 16000 one-loss, 0 eliminated
Round 2: 8000 undefeated, 16000 one-loss, 8000 eliminated
Round 3: 4000 undefeated, 12000 one-loss, 16000 eliminated
Round 4: 2000 undefeated, 8000 one-loss, 22000 eliminated
Round 5: 1000 undefeated, 5000 one-loss, 26000 eliminated
Round 6: 500 undefeated, 3000 one-loss, 28500 eliminated
Round 7: 250 undefeated, 1750 one-loss, 30000 eliminated
Round 8: 125 undefeated, 1000 one-loss, 30875 eliminated
Round 9: 63 undefeated, 562 one-loss, 31375 eliminated
Round 10: 32 undefeated, 312 one-loss, 31656 eliminated
Round 11: 16 undefeated, 172 one-loss, 31812 eliminated
Round 12: 8 undefeated, 94 one-loss, 31898 eliminated
Round 13: 4 undefeated, 51 one-loss, 31945 eliminated
Round 14: 2 undefeated, 28 one-loss, 31970 eliminated
Round 15: 1 undefeated, 15 one-loss, 31984 eliminated
Round 16: 1 undefeated, 8 one-loss, 31991 eliminated
Round 17: 1 undefeated, 4 one-loss, 31995 eliminated
Round 18: 1 undefeated, 2 one-loss, 31997 eliminated
Round 19: 1 undefeated, 1 one-loss, 31998 eliminated
Round 20: 0 undefeated, 2 one-loss, 31998 eliminated
Round 21: 0 undefeated, 1 one-loss, 31999 eliminated
There are 21 rounds.

